zmin> 12.0
zmax> 72.0
nz> 120
! Z	            Fx	            Fy	            Fz
4.47731092E+01	0.00000000E+00	7.10386388E-02	0.00000000E+00
4.52773109E+01	0.00000000E+00	-8.66796470E-02	0.00000000E+00
4.57815126E+01	0.00000000E+00	-2.35771124E-01	0.00000000E+00
4.62857143E+01	0.00000000E+00	-3.61397432E-01	0.00000000E+00
4.67899160E+01	0.00000000E+00	-4.51055589E-01	0.00000000E+00
4.72941176E+01	0.00000000E+00	-4.95822348E-01	0.00000000E+00
4.77983193E+01	0.00000000E+00	-4.91242289E-01	0.00000000E+00
4.83025210E+01	0.00000000E+00	-4.37771242E-01	0.00000000E+00
4.88067227E+01	0.00000000E+00	-3.40730926E-01	0.00000000E+00
4.93109244E+01	0.00000000E+00	-2.09779296E-01	0.00000000E+00
4.98151261E+01	0.00000000E+00	-5.79493395E-02	0.00000000E+00
5.03193277E+01	0.00000000E+00	9.96480365E-02	0.00000000E+00
5.08235294E+01	0.00000000E+00	2.47327922E-01	0.00000000E+00
5.13277311E+01	0.00000000E+00	3.70392446E-01	0.00000000E+00
5.18319328E+01	0.00000000E+00	4.56593588E-01	0.00000000E+00
5.23361345E+01	0.00000000E+00	4.97352162E-01	0.00000000E+00
5.28403361E+01	0.00000000E+00	4.88611663E-01	0.00000000E+00
5.33445378E+01	0.00000000E+00	4.31241990E-01	0.00000000E+00
5.38487395E+01	0.00000000E+00	3.30952872E-01	0.00000000E+00
5.43529412E+01	0.00000000E+00	1.97725603E-01	0.00000000E+00
5.48571429E+01	0.00000000E+00	4.48196545E-02	0.00000000E+00
5.53613445E+01	0.00000000E+00	-1.12546980E-01	0.00000000E+00
5.58655462E+01	0.00000000E+00	-2.58712353E-01	0.00000000E+00
5.63697479E+01	0.00000000E+00	-3.79129328E-01	0.00000000E+00
5.68739496E+01	0.00000000E+00	-4.61813380E-01	0.00000000E+00
5.73781513E+01	0.00000000E+00	-4.98535364E-01	0.00000000E+00
5.78823529E+01	0.00000000E+00	-4.85640516E-01	0.00000000E+00
5.83865546E+01	0.00000000E+00	-4.24412198E-01	0.00000000E+00
5.88907563E+01	0.00000000E+00	-3.20944172E-01	0.00000000E+00
5.93949580E+01	0.00000000E+00	-1.85534113E-01	0.00000000E+00
5.98991597E+01	0.00000000E+00	-3.16587338E-02	0.00000000E+00
6.04033613E+01	0.00000000E+00	1.25367487E-01	0.00000000E+00
6.09075630E+01	0.00000000E+00	2.69916483E-01	0.00000000E+00
6.14117647E+01	0.00000000E+00	3.87601988E-01	0.00000000E+00
6.19159664E+01	0.00000000E+00	4.66711327E-01	0.00000000E+00
6.24201681E+01	0.00000000E+00	4.99371128E-01	0.00000000E+00
6.29243697E+01	0.00000000E+00	4.82330918E-01	0.00000000E+00
6.34285714E+01	0.00000000E+00	4.17286627E-01	0.00000000E+00
6.39327731E+01	0.00000000E+00	3.10711801E-01	0.00000000E+00
6.44369748E+01	0.00000000E+00	1.73213320E-01	0.00000000E+00
6.49411765E+01	0.00000000E+00	1.84757497E-02	0.00000000E+00
6.54453782E+01	0.00000000E+00	-1.38100624E-01	0.00000000E+00
6.59495798E+01	0.00000000E+00	-2.80932505E-01	0.00000000E+00
6.64537815E+01	0.00000000E+00	-3.95804522E-01	0.00000000E+00
6.69579832E+01	0.00000000E+00	-4.71284015E-01	0.00000000E+00
6.74621849E+01	0.00000000E+00	-4.99858873E-01	0.00000000E+00
6.79663866E+01	0.00000000E+00	-4.78685176E-01	0.00000000E+00
6.84705882E+01	0.00000000E+00	-4.09870241E-01	0.00000000E+00
6.89747899E+01	0.00000000E+00	-3.00262889E-01	0.00000000E+00
6.94789916E+01	0.00000000E+00	-1.60771813E-01	0.00000000E+00
6.99831933E+01	0.00000000E+00	-5.27988952E-03	0.00000000E+00
7.04873950E+01	0.00000000E+00	1.50737516E-01	0.00000000E+00
7.09915966E+01	0.00000000E+00	2.91752740E-01	0.00000000E+00
7.14957983E+01	0.00000000E+00	4.03731214E-01	0.00000000E+00
7.20000000E+01	0.00000000E+00	4.75528258E-01	0.00000000E+00
