ymax> 22.6
nx> 8
ny> 11
xmax> 26.0
xmin> -30.0
ymin> -25.0
! X	             Y	            Fx	            Fy	            Fz
 9.2000000E+00	-1.8200000E+01	-2.8730589E+00	-3.3114267E-01	 2.6881575E+00
 9.2000000E+00	-1.1400000E+01	-2.6937705E+00	 5.6068631E-01	 2.6881575E+00
 9.2000000E+00	-4.6000000E+00	-1.3161460E+00	 1.2030914E+00	 2.6881575E+00
 9.2000000E+00	 2.2000000E+00	 6.4697209E-01	 1.3102958E+00	 2.6881575E+00
 9.2000000E+00	 9.0000000E+00	 2.3222816E+00	 8.3460916E-01	 2.6881575E+00
 9.2000000E+00	 1.5800000E+01	 2.9645136E+00	-1.2357205E-02	 2.6881575E+00
 9.2000000E+00	 2.2600000E+01	 2.2879682E+00	-8.5382641E-01	 2.6881575E+00
 1.4800000E+01	-2.5000000E+01	-9.0303070E-01	-1.4839140E+00	 2.2154057E+00
 1.4800000E+01	-1.8200000E+01	-1.4622824E+00	-4.5682337E-01	 2.2154057E+00
 1.4800000E+01	-1.1400000E+01	-1.3710311E+00	 7.7348717E-01	 2.2154057E+00
 1.4800000E+01	-4.6000000E+00	-6.6987039E-01	 1.6597084E+00	 2.2154057E+00
 1.4800000E+01	 2.2000000E+00	 3.2928525E-01	 1.8076008E+00	 2.2154057E+00
 1.4800000E+01	 9.0000000E+00	 1.1819568E+00	 1.1513737E+00	 2.2154057E+00
 1.4800000E+01	 1.5800000E+01	 1.5088295E+00	-1.7047214E-02	 2.2154057E+00
 1.4800000E+01	 2.2600000E+01	 1.1644925E+00	-1.1778846E+00	 2.2154057E+00
 2.0400000E+01	-2.5000000E+01	 1.4642332E-01	-1.5992872E+00	 1.5700979E+00
 2.0400000E+01	-1.8200000E+01	 2.3710406E-01	-4.9234105E-01	 1.5700979E+00
 2.0400000E+01	-1.1400000E+01	 2.2230798E-01	 8.3362523E-01	 1.5700979E+00
 2.0400000E+01	-4.6000000E+00	 1.0861718E-01	 1.7887495E+00	 1.5700979E+00
 2.0400000E+01	 2.2000000E+00	-5.3392470E-02	 1.9481404E+00	 1.5700979E+00
 2.0400000E+01	 9.0000000E+00	-1.9165023E-01	 1.2408922E+00	 1.5700979E+00
 2.0400000E+01	 1.5800000E+01	-2.4465152E-01	-1.8372622E-02	 1.5700979E+00
 2.0400000E+01	 2.2600000E+01	-1.8881846E-01	-1.2694643E+00	 1.5700979E+00
 2.6000000E+01	-2.5000000E+01	 1.1669778E+00	-1.3990098E+00	 8.0249649E-01
 2.6000000E+01	-1.8200000E+01	 1.8896934E+00	-4.3068561E-01	 8.0249649E-01
 2.6000000E+01	-1.1400000E+01	 1.7717703E+00	 7.2923107E-01	 8.0249649E-01
 2.6000000E+01	-4.6000000E+00	 8.6566703E-01	 1.5647460E+00	 8.0249649E-01
 2.6000000E+01	 2.2000000E+00	-4.2553214E-01	 1.7041765E+00	 8.0249649E-01
 2.6000000E+01	 9.0000000E+00	-1.5274314E+00	 1.0854963E+00	 8.0249649E-01
 2.6000000E+01	 1.5800000E+01	-1.9498458E+00	-1.6071834E-02	 8.0249649E-01
 2.6000000E+01	 2.2600000E+01	-1.5048624E+00	-1.1104904E+00	 8.0249649E-01
